(0.947411,-1,-0.599634)
(-0.926984,-1,-0.78138)
(-0.175195,-1,0.545747)
(0.796656,-1,-0.893393)
(0.253869,-1,0.141566)
(-0.638683,-1,-0.365247)
(0.336469,-1,-0.70564)
(0.650736,-1,0.593418)
(-0.762401,-1,0.00849636)
(0.0553626,-1,-0.974496)
(-0.247537,-1,0.0476456)
(0.186173,-1,-0.170017)
(0.0468901,-1,0.15909)
(-0.711067,-1,0.659598)
(-0.468494,-1,0.133843)
(-0.410805,-1,0.312342)
(-0.761196,-1,-1)
(-0.519984,-1,-1)
(-0.095991,-1,-1)
(-0.457503,-1,-1)
(-0.0610055,-1,-1)
(-0.28857,-1,-1)
(0.0781404,-1,-1)
(0.844685,-1,-1)
(-0.00584861,-1,-1)
(0.867472,-1,-1)
(0.823668,-1,-1)
(-0.55771,-1,-1)
(-0.563286,-1,-1)
(0.0379607,-1,-1)
(-0.630956,-1,-1)
(-1,-1,-1)
(-1,-1,1)
(-1,1,1)
(-1,1,-1)
(-1,1,-1)
(-1,1,1)
(1,1,1)
(1,1,-1)
(1,1,-1)
(1,1,1)
(1,-1,1)
(1,-1,-1)
(-1,-1,1)
(-1,-1,-1)
(1,-1,-1)
(1,-1,1)
(1,-1,-1)
(-1,-1,-1)
(-1,1,-1)
(1,1,-1)
(1,1,1)
(-1,1,1)
(-1,-1,1)
(1,-1,1)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
